,userid,version,sum_gamerounds,retention_1,retention_7,gameround_group
428,43744,gate_30,141,True,False,L
430,44400,gate_40,95,True,False,G
438,45066,gate_30,85,True,False,F
439,45083,gate_40,54,False,False,C
450,46347,gate_30,57,False,False,C
453,46624,gate_40,148,True,True,L
454,46629,gate_40,57,True,False,C
456,46806,gate_30,163,True,True,N
457,46919,gate_40,47,True,False,B
458,46938,gate_30,54,False,False,C
461,47822,gate_40,63,True,True,D
466,48201,gate_40,84,True,True,F
467,48631,gate_40,60,False,False,D
480,50158,gate_40,87,True,True,F
481,50237,gate_40,86,True,False,F
490,50850,gate_30,34,True,True,A
491,51155,gate_30,34,False,False,A
493,51295,gate_30,117,True,True,I
495,51430,gate_30,34,True,False,A
498,51823,gate_40,54,True,True,C
500,51970,gate_40,76,False,True,E
501,52100,gate_40,55,True,False,C
517,53996,gate_40,115,True,True,I
518,54069,gate_30,170,True,True,O
519,54162,gate_30,174,True,True,O
528,54754,gate_30,70,True,False,E
532,55213,gate_40,141,True,True,L
533,55250,gate_40,47,True,True,B
535,55621,gate_30,32,False,False,A
543,56587,gate_40,54,True,False,C
546,56997,gate_40,41,False,False,B
548,57321,gate_30,54,False,False,C
554,57516,gate_30,38,True,True,A
560,58592,gate_40,85,True,False,F
565,59395,gate_30,33,True,True,A
572,60619,gate_40,65,True,False,D
575,60984,gate_30,139,False,True,K
590,62566,gate_40,67,True,False,D
596,63370,gate_30,179,True,True,O
600,63555,gate_40,43,False,False,B
610,64309,gate_40,125,True,False,J
616,64944,gate_40,62,False,False,D
622,66509,gate_30,46,True,False,B
636,68020,gate_40,52,False,True,C
638,68151,gate_40,136,True,False,K
643,68698,gate_40,83,True,False,F
646,68915,gate_40,121,False,False,J
647,68965,gate_40,105,True,True,H
650,69392,gate_30,46,False,False,B
652,69649,gate_40,80,True,True,F
665,71119,gate_30,118,True,True,I
666,71161,gate_40,68,True,False,D
667,71165,gate_40,105,True,False,H
669,71235,gate_30,38,True,False,A
675,72085,gate_40,103,True,False,H
694,74377,gate_30,53,True,False,C
697,75029,gate_40,98,True,False,G
701,76133,gate_30,50,False,False,C
702,76549,gate_30,149,False,True,L
707,76784,gate_40,53,True,False,C
709,76917,gate_30,113,True,False,I
715,77495,gate_40,59,False,False,C
717,77731,gate_30,106,True,True,H
721,77850,gate_30,59,True,False,C
722,78089,gate_30,47,False,False,B
724,78183,gate_30,34,True,False,A
735,80282,gate_30,128,True,True,J
738,80526,gate_30,34,False,True,A
747,81447,gate_30,34,False,False,A
749,81524,gate_30,34,True,False,A
753,82064,gate_30,41,True,False,B
766,83438,gate_40,129,True,True,J
767,83732,gate_40,95,False,True,G
768,83798,gate_40,96,True,False,G
769,84100,gate_30,160,True,False,N
776,85007,gate_40,110,True,True,I
777,85277,gate_30,61,True,True,D
783,86821,gate_40,65,True,False,D
789,87419,gate_30,46,False,False,B
791,87542,gate_30,40,True,False,B
797,87827,gate_30,37,True,False,A
800,88361,gate_40,55,False,True,C
803,88521,gate_40,44,False,False,B
804,88907,gate_30,133,True,False,K
813,90640,gate_30,44,False,True,B
815,90755,gate_30,76,True,False,E
816,90892,gate_30,52,True,False,C
817,90916,gate_40,88,True,True,F
818,90979,gate_30,36,True,False,A
819,90992,gate_40,66,True,False,D
820,91010,gate_40,70,False,False,E
822,91045,gate_40,44,False,False,B
823,92061,gate_40,98,True,False,G
829,92638,gate_40,54,False,False,C
837,93646,gate_30,33,False,False,A
841,94159,gate_30,79,True,True,E
847,94904,gate_30,43,True,False,B
848,95033,gate_30,42,True,False,B
852,95696,gate_40,42,False,True,B
854,96038,gate_40,132,False,True,K
855,96058,gate_30,49,True,True,B
856,96076,gate_30,95,True,True,G
858,96471,gate_30,183,True,False,P
860,96561,gate_40,112,True,True,I
861,96675,gate_30,70,True,True,E
863,96745,gate_40,100,True,True,H
869,97777,gate_40,41,True,False,B
870,97849,gate_30,81,True,True,F
871,97873,gate_40,49,True,False,B
872,97971,gate_30,142,True,True,L
873,98151,gate_30,31,False,False,A
880,99252,gate_40,48,True,False,B
889,99928,gate_40,83,True,False,F
893,100084,gate_30,143,False,True,L
895,100214,gate_40,114,True,True,I
896,100367,gate_30,71,True,False,E
898,100556,gate_40,63,True,True,D
899,100585,gate_30,75,True,False,E
904,101041,gate_30,95,True,False,G
906,101591,gate_30,186,True,True,P
907,101601,gate_30,50,True,False,C
908,101664,gate_30,129,True,False,J
914,101915,gate_30,164,True,True,N
918,102302,gate_40,78,False,True,E
927,103095,gate_40,47,True,False,B
931,103498,gate_30,50,True,True,C
933,103557,gate_40,57,True,False,C
937,104157,gate_40,59,True,False,C
939,104211,gate_30,51,False,False,C
943,104592,gate_40,45,False,False,B
945,104694,gate_30,82,False,True,F
950,105277,gate_30,56,True,False,C
952,105632,gate_40,52,False,False,C
964,107040,gate_40,57,True,False,C
966,107563,gate_30,39,False,False,A
971,107981,gate_30,51,True,False,C
974,108134,gate_30,54,False,True,C
978,108454,gate_30,35,False,True,A
985,109151,gate_40,109,True,False,H
986,109158,gate_40,106,True,False,H
988,109366,gate_40,158,True,True,M
989,109431,gate_30,60,True,False,D
992,109578,gate_30,35,False,False,A
998,110004,gate_30,73,True,False,E
1005,111196,gate_40,52,True,False,C
1006,111362,gate_40,56,True,False,C
1007,111382,gate_40,42,True,True,B
1014,112216,gate_40,77,False,False,E
1017,112365,gate_40,41,True,False,B
1022,113325,gate_30,86,True,True,F
1023,113378,gate_40,47,False,True,B
1024,113462,gate_30,175,True,False,O
1028,113621,gate_40,44,True,True,B
1029,113666,gate_30,81,True,True,F
1030,113725,gate_40,47,True,False,B
1031,113800,gate_30,37,True,False,A
1042,115234,gate_30,123,False,True,J
1044,115498,gate_40,104,True,False,H
1054,116382,gate_40,69,True,True,D
1055,116423,gate_30,33,False,False,A
1058,116590,gate_30,45,True,False,B
1065,117242,gate_30,90,True,False,G
1067,117700,gate_40,90,True,False,G
1070,117868,gate_30,190,True,False,H
1072,117992,gate_30,142,True,True,L
1074,118189,gate_30,50,False,False,C
1077,118654,gate_40,192,False,True,H
1087,119742,gate_30,191,True,True,H
1090,120587,gate_30,45,False,False,B
1095,121148,gate_40,52,False,False,C
1105,122299,gate_40,65,False,False,D
1110,122817,gate_40,74,True,False,E
1112,122981,gate_30,40,False,False,B
1115,123121,gate_40,66,True,False,D
1116,123318,gate_40,48,True,False,B
1119,123638,gate_30,50,True,False,C
1124,124379,gate_40,124,False,True,J
1127,124702,gate_30,93,True,True,G
1128,124729,gate_30,41,True,False,B
1133,125058,gate_30,38,True,False,A
1134,125379,gate_30,91,True,True,G
1137,125735,gate_40,73,False,False,E
1140,125925,gate_30,51,True,False,C
1143,126043,gate_40,142,True,False,L
1144,126289,gate_30,44,True,False,B
1145,126418,gate_40,44,True,False,B
1154,127794,gate_30,35,False,False,A
1160,128346,gate_30,43,True,False,B
1163,128547,gate_40,64,False,False,D
1165,128956,gate_30,60,True,False,D
1167,129110,gate_40,42,True,False,B
1172,129260,gate_30,129,False,True,J
1182,130391,gate_30,33,False,False,A
1183,130412,gate_30,38,False,False,A
1185,130572,gate_40,55,True,False,C
1186,130879,gate_30,159,True,True,M
1190,131358,gate_40,69,True,True,D
1191,131740,gate_30,74,True,False,E
1194,132330,gate_30,113,True,False,I
1199,132928,gate_40,139,True,True,K
1200,132961,gate_40,79,True,False,E
1201,133088,gate_30,50,True,False,C
1207,134380,gate_40,117,True,False,I
1212,134621,gate_40,40,True,False,B
1220,135220,gate_40,148,True,True,L
1226,135693,gate_30,149,True,True,L
1230,135978,gate_30,80,False,True,F
1242,137177,gate_30,45,False,False,B
1244,137380,gate_40,43,True,True,B
1248,137570,gate_30,181,True,True,P
1251,137865,gate_30,39,True,False,A
1254,138234,gate_30,75,True,True,E
1261,138886,gate_30,59,True,True,C
1270,139581,gate_40,103,True,True,H
1271,139772,gate_30,80,False,True,F
1273,140041,gate_30,70,True,True,E
1278,140734,gate_30,51,False,True,C
1279,140907,gate_30,81,True,False,F
1282,141163,gate_30,44,True,False,B
1285,141449,gate_40,124,False,True,J
1293,142359,gate_40,66,True,True,D
1300,142985,gate_40,57,True,True,C
1308,143939,gate_40,57,True,False,C
1312,144120,gate_30,52,True,False,C
1319,144571,gate_40,87,True,True,F
1320,144664,gate_30,45,True,False,B
1324,145225,gate_40,75,True,True,E
1330,145852,gate_30,186,True,True,P
1332,145938,gate_30,53,True,False,C
1338,146715,gate_40,134,True,True,K
1344,147246,gate_40,95,True,False,G
1345,147292,gate_40,76,False,True,E
1351,147685,gate_40,71,True,False,E
1360,148358,gate_30,137,False,True,K
1365,148811,gate_40,49,False,False,B
1366,148974,gate_40,50,True,False,C
1368,149272,gate_40,42,False,True,B
1371,149574,gate_30,60,True,False,D
1377,149896,gate_40,116,True,True,I
1379,150056,gate_40,70,False,False,E
1380,150076,gate_40,45,True,True,B
1381,150102,gate_40,74,True,False,E
1382,150178,gate_40,60,False,True,D
1383,150398,gate_40,169,True,True,N
1385,150547,gate_40,42,False,False,B
1386,150648,gate_30,35,False,True,A
1387,150818,gate_40,43,True,False,B
1389,150861,gate_40,185,True,False,P
1407,152596,gate_30,31,True,False,A
1409,152824,gate_40,62,True,False,D
1417,154098,gate_40,118,True,False,I
1424,154490,gate_40,117,True,True,I
1433,155665,gate_40,87,True,False,F
1434,155726,gate_40,103,True,True,H
1447,156990,gate_40,49,False,True,B
1457,157584,gate_30,62,True,False,D
1461,158094,gate_30,42,True,False,B
1464,158459,gate_40,57,True,True,C
1468,158679,gate_30,43,True,False,B
1474,159068,gate_30,37,False,False,A
1478,159569,gate_40,41,True,False,B
1483,159871,gate_40,141,True,False,L
1487,160152,gate_30,44,False,False,B
1489,160191,gate_30,58,True,False,C
1491,160315,gate_30,41,True,False,B
1493,160706,gate_30,32,True,False,A
1503,162205,gate_30,35,True,True,A
1509,163075,gate_40,93,True,True,G
1511,163195,gate_40,109,True,True,H
1512,163209,gate_30,53,False,True,C
1513,163279,gate_40,79,True,False,E
1519,163912,gate_40,114,True,False,I
1523,164319,gate_30,144,True,False,L
1525,164413,gate_30,64,True,False,D
1526,164652,gate_40,59,True,False,C
1534,165633,gate_30,45,True,False,B
1538,165967,gate_40,56,False,False,C
1543,166349,gate_30,75,False,True,E
1549,166972,gate_40,83,True,False,F
1551,167120,gate_30,32,True,True,A
1560,168191,gate_30,62,True,True,D
1565,168648,gate_30,75,True,False,E
1566,168732,gate_30,168,False,True,N
1571,169278,gate_30,39,True,False,A
1575,170045,gate_40,133,True,True,K
1578,170172,gate_30,43,True,False,B
1580,170496,gate_30,68,True,False,D
1587,171285,gate_40,94,True,False,G
1590,171875,gate_30,105,True,True,H
1591,171972,gate_40,62,False,True,D
1595,172381,gate_40,44,True,False,B
1597,172857,gate_30,73,True,True,E
1598,173039,gate_30,32,True,False,A
1599,173129,gate_40,69,True,True,D
1601,173419,gate_40,51,False,False,C
1605,173971,gate_30,44,False,False,B
1610,174304,gate_40,81,True,True,F
1611,174328,gate_30,33,True,True,A
1613,174807,gate_30,128,True,False,J
1621,175412,gate_30,64,False,False,D
1624,175831,gate_40,138,True,False,K
1638,177454,gate_30,65,True,True,D
1643,178129,gate_40,84,True,False,F
1646,178260,gate_30,47,True,False,B
1647,178587,gate_40,75,True,False,E
1648,178610,gate_30,62,True,False,D
1661,179911,gate_30,174,True,True,O
1664,180120,gate_40,114,True,True,I
1666,180683,gate_40,51,True,False,C
1671,181212,gate_40,80,True,True,F
1672,181392,gate_30,36,False,False,A
1688,183329,gate_30,46,True,True,B
1691,183738,gate_30,52,False,False,C
1702,185056,gate_30,143,True,True,L
1706,185368,gate_30,52,False,False,C
1712,185984,gate_30,41,True,False,B
1715,186071,gate_30,48,True,False,B
1721,186621,gate_40,43,True,False,B
1725,187084,gate_30,69,True,False,D
1728,187680,gate_40,83,False,False,F
1737,188805,gate_30,84,False,False,F
1739,188880,gate_30,163,False,False,N
1741,189066,gate_40,61,True,False,D
1742,189098,gate_30,35,True,False,A
1744,189116,gate_30,129,True,False,J
1749,189970,gate_40,104,True,False,H
1751,190151,gate_30,36,True,False,A
1753,190226,gate_40,63,True,False,D
1759,190691,gate_30,38,True,False,A
1762,190832,gate_40,64,True,True,D
1764,190942,gate_40,62,False,True,D
1768,191259,gate_30,155,True,True,M
1770,191357,gate_40,64,False,False,D
1771,191440,gate_30,56,True,False,C
1776,192338,gate_30,57,True,False,C
1777,192398,gate_30,41,True,True,B
1778,192424,gate_40,181,True,True,P
1779,192506,gate_40,65,True,False,D
1785,193226,gate_30,89,True,True,F
1786,193252,gate_30,34,True,False,A
1794,194208,gate_30,37,True,False,A
1797,195031,gate_30,153,True,False,M
1798,195134,gate_30,33,True,False,A
1802,195673,gate_30,89,True,True,F
1805,195806,gate_30,30,True,False,A
1806,196020,gate_40,41,False,False,B
1807,196073,gate_30,53,True,True,C
1808,196293,gate_40,133,True,True,K
1822,198005,gate_40,99,True,False,G
1828,198390,gate_30,59,False,True,C
1832,198750,gate_40,41,True,True,B
1834,198901,gate_30,35,True,False,A
1842,199929,gate_40,59,True,True,C
1846,200398,gate_40,88,True,True,F
1848,200499,gate_40,159,True,False,M
1849,200587,gate_30,40,True,True,B
1855,201344,gate_30,32,True,False,A
1857,201516,gate_30,37,True,False,A
1860,201766,gate_30,34,True,True,A
1864,201975,gate_40,65,False,False,D
1875,203427,gate_40,40,True,True,B
1876,203446,gate_40,61,True,False,D
1877,203623,gate_40,123,True,False,J
1880,203804,gate_30,85,True,False,F
1888,204106,gate_40,91,True,False,G
1892,204307,gate_30,36,True,False,A
1896,204809,gate_40,67,False,True,D
1904,205322,gate_30,71,False,False,E
1905,205475,gate_40,109,True,True,H
1907,205840,gate_30,49,True,False,B
1908,205855,gate_30,169,True,True,N
1909,205881,gate_30,45,True,False,B
1918,206979,gate_30,35,True,False,A
1921,207142,gate_30,70,True,False,E
1925,207551,gate_30,121,True,False,J
1931,208551,gate_30,131,True,True,K
1939,209187,gate_30,47,False,False,B
1943,209644,gate_40,179,True,True,O
1944,209854,gate_30,61,False,True,D
1960,211983,gate_30,99,True,True,G
1961,212109,gate_30,58,True,True,C
1966,212593,gate_40,83,True,False,F
1970,213336,gate_30,38,False,True,A
1971,213350,gate_40,141,True,True,L
1973,213526,gate_40,152,True,True,M
1976,213633,gate_30,32,False,False,A
1978,213919,gate_30,41,False,False,B
1982,214300,gate_40,131,True,True,K
1983,214344,gate_40,67,True,False,D
1987,214681,gate_40,60,False,True,D
1993,215241,gate_30,33,False,False,A
2004,216304,gate_30,32,True,False,A
2006,216630,gate_40,71,True,False,E
2009,216947,gate_30,59,False,False,C
2011,217510,gate_30,101,True,False,H
2016,218278,gate_40,77,True,False,E
2019,218483,gate_30,34,True,False,A
2020,218491,gate_30,60,True,False,D
2024,219102,gate_30,55,True,False,C
2025,219299,gate_30,75,True,False,E
2028,219723,gate_40,75,False,False,E
2036,221780,gate_40,99,True,True,G
2040,222236,gate_40,57,False,True,C
2041,222469,gate_40,165,True,True,N
2046,222863,gate_40,114,True,False,I
2052,223404,gate_40,43,True,True,B
2053,223470,gate_30,33,False,False,A
2054,223761,gate_30,183,True,False,P
2056,223954,gate_40,57,True,False,C
2069,225619,gate_40,44,True,False,B
2070,225887,gate_40,102,True,True,H
2073,226129,gate_30,42,True,False,B
2077,226829,gate_40,101,True,True,H
2087,227843,gate_30,194,True,True,H
2089,227982,gate_30,178,True,False,O
2091,228028,gate_30,30,True,False,A
2093,228313,gate_30,38,False,False,A
2104,228897,gate_40,74,True,True,E
2108,229449,gate_30,181,True,True,P
2113,229957,gate_40,78,False,True,E
2116,230166,gate_30,35,False,False,A
2120,230897,gate_40,60,False,True,D
2121,231022,gate_30,60,True,False,D
2126,231622,gate_40,90,True,False,G
2134,232506,gate_30,116,True,False,I
2135,232533,gate_40,154,True,False,M
2162,235571,gate_30,37,False,False,A
2164,235670,gate_30,32,True,False,A
2166,235738,gate_40,164,True,True,N
2169,236155,gate_30,33,True,False,A
2170,236212,gate_40,162,True,True,N
2181,237638,gate_40,155,True,True,M
2189,238958,gate_40,41,False,True,B
2192,239462,gate_40,84,True,True,F
2201,240510,gate_30,32,True,False,A
2206,241088,gate_30,103,True,False,H
2208,241175,gate_30,45,False,True,B
2212,241792,gate_40,75,True,False,E
2215,242207,gate_40,40,True,True,B
2216,242265,gate_40,73,False,False,E
2218,242860,gate_30,40,False,False,B
2219,243145,gate_40,177,True,True,O
2220,243154,gate_40,151,True,False,M
2223,243606,gate_40,146,True,True,L
2229,244256,gate_40,70,True,False,E
2230,244485,gate_30,126,True,True,J
2231,244583,gate_40,121,True,True,J
2232,244609,gate_40,51,True,False,C
2237,245122,gate_30,35,False,False,A
2239,245530,gate_30,33,False,False,A
2245,246380,gate_40,48,False,False,B
2249,247190,gate_30,40,False,False,B
2251,247629,gate_40,58,True,False,C
2265,249689,gate_40,53,False,False,C
2276,251156,gate_30,100,True,False,H
2278,251406,gate_40,111,True,True,I
2285,252138,gate_30,71,False,False,E
2294,253036,gate_30,181,True,False,P
2296,253417,gate_30,58,True,False,C
2301,253876,gate_30,51,True,False,C
2306,254342,gate_40,89,True,False,F
2309,254573,gate_40,48,False,False,B
2310,254659,gate_40,174,True,False,O
2312,255077,gate_40,50,True,True,C
2314,255220,gate_40,161,False,True,N
2317,255470,gate_40,164,True,False,N
2320,255657,gate_40,187,True,True,P
2333,257426,gate_40,41,True,False,B
2334,257472,gate_30,128,True,False,J
2335,257532,gate_40,91,True,True,G
2336,257615,gate_30,90,True,False,G
2338,257720,gate_40,151,True,False,M
2352,258720,gate_30,45,True,False,B
2362,259958,gate_30,145,True,False,L
2364,260019,gate_40,183,True,True,P
2369,260446,gate_40,63,True,True,D
2370,260523,gate_30,30,True,False,A
2373,260720,gate_30,167,True,False,N
2375,260866,gate_40,69,True,False,D
2376,260901,gate_30,49,True,False,B
2380,261725,gate_40,42,True,False,B
2382,261811,gate_40,114,False,True,I
2384,261973,gate_30,49,True,False,B
2389,262491,gate_30,100,True,False,H
2393,263178,gate_30,53,True,False,C
2397,263329,gate_40,118,True,False,I
2399,263382,gate_40,114,True,False,I
2402,263912,gate_30,36,True,False,A
2407,264514,gate_30,42,False,False,B
2412,265313,gate_30,46,True,True,B
2415,265700,gate_30,30,True,False,A
2430,267847,gate_30,40,True,False,B
2431,267912,gate_30,32,True,False,A
2432,268064,gate_40,51,False,False,C
2433,268232,gate_40,57,True,True,C
2435,268298,gate_40,129,True,False,J
2436,268314,gate_40,70,False,False,E
2438,268492,gate_30,123,True,True,J
2439,268517,gate_40,55,True,False,C
2453,270187,gate_30,80,True,True,F
2455,270229,gate_40,77,True,False,E
2456,270262,gate_40,142,True,True,L
2462,270655,gate_40,55,True,True,C
2471,272133,gate_30,192,True,True,H
2483,273438,gate_30,38,True,False,A
2486,273679,gate_30,184,False,False,P
2491,274306,gate_30,128,True,True,J
2493,274744,gate_30,37,True,False,A
2494,274858,gate_30,63,True,False,D
2510,276656,gate_30,38,True,True,A
2517,277023,gate_40,68,False,False,D
2522,277579,gate_30,177,True,True,O
2528,278277,gate_30,50,False,False,C
2533,278692,gate_40,47,True,False,B
2534,278716,gate_30,166,True,True,N
2537,279168,gate_40,161,True,True,N
2545,280253,gate_40,57,True,True,C
2546,280315,gate_30,47,False,False,B
2547,280520,gate_40,78,True,False,E
2551,280982,gate_40,191,False,True,H
2559,281736,gate_40,116,True,True,I
2560,281799,gate_30,73,False,False,E
2563,282754,gate_30,33,True,False,A
2565,282985,gate_30,96,True,False,G
2566,283014,gate_30,56,True,True,C
2577,283707,gate_30,135,True,True,K
2580,284007,gate_30,160,True,True,N
2587,284733,gate_30,104,True,True,H
2588,284742,gate_40,135,True,True,K
2595,285321,gate_40,49,False,False,B
2598,285352,gate_40,79,True,True,E
2602,285915,gate_30,45,False,False,B
2605,286027,gate_30,34,True,False,A
2606,286117,gate_30,53,True,False,C
2623,287161,gate_40,78,False,True,E
2624,287170,gate_40,115,True,True,I
2625,287270,gate_40,98,True,True,G
2637,288429,gate_40,101,True,False,H
2641,289113,gate_40,111,True,True,I
2650,289969,gate_40,124,True,True,J
2655,290386,gate_30,100,False,False,H
2657,290419,gate_30,42,True,True,B
2661,290547,gate_30,31,True,False,A
2664,290659,gate_30,46,True,True,B
2672,291706,gate_30,46,True,False,B
2675,292402,gate_40,57,True,False,C
2679,293045,gate_40,61,True,False,D
2680,293232,gate_40,54,True,True,C
2682,293413,gate_40,97,True,False,G
2684,293662,gate_40,40,True,False,B
2688,294171,gate_40,57,True,False,C
2697,295300,gate_30,57,True,True,C
2701,295729,gate_30,131,True,True,K
2704,296163,gate_40,80,True,True,F
2705,296635,gate_30,65,False,True,D
2706,296922,gate_30,30,False,False,A
2707,297032,gate_40,45,True,True,B
2708,297504,gate_40,61,True,True,D
2709,297557,gate_30,30,False,False,A
2720,298697,gate_30,63,True,False,D
2721,298753,gate_40,100,True,True,H
2722,298852,gate_30,39,True,False,A
2728,299468,gate_40,135,True,False,K
2732,299832,gate_30,77,True,False,E
2735,299944,gate_40,81,True,True,F
2737,300473,gate_40,58,True,False,C
2740,300711,gate_40,98,True,False,G
2743,301385,gate_30,176,True,True,O
2745,301781,gate_30,47,True,True,B
2756,302519,gate_40,121,True,True,J
2757,302650,gate_40,45,True,False,B
2759,302847,gate_40,68,True,True,D
2760,303020,gate_40,52,True,True,C
2763,303201,gate_30,31,False,False,A
2769,304120,gate_30,30,True,False,A
2771,304618,gate_40,83,False,True,F
2772,304866,gate_40,138,True,False,K
2773,304972,gate_30,106,True,False,H
2776,305345,gate_40,79,True,True,E
2779,305972,gate_30,83,True,False,F
2782,306210,gate_40,178,True,True,O
2787,306596,gate_40,91,False,False,G
2789,306725,gate_40,55,False,True,C
2792,307029,gate_40,41,True,False,B
2794,307109,gate_30,38,False,False,A
2797,307347,gate_30,57,True,False,C
2799,307441,gate_40,113,True,True,I
2802,307674,gate_30,45,True,True,B
2804,307714,gate_30,43,False,False,B
2808,308041,gate_40,52,False,True,C
2809,308304,gate_30,62,True,True,D
2811,308443,gate_40,100,True,False,H
2815,308609,gate_40,139,True,True,K
2817,308806,gate_30,69,True,True,D
2819,308949,gate_40,71,True,True,E
2828,310626,gate_40,43,True,False,B
2830,310957,gate_30,92,True,False,G
2831,311333,gate_30,52,True,False,C
2833,311542,gate_30,124,False,False,J
2837,312092,gate_40,57,True,True,C
2841,312686,gate_30,109,False,False,H
2844,312929,gate_40,85,False,False,F
2845,313011,gate_30,35,True,True,A
2846,313141,gate_40,71,True,False,E
2847,313566,gate_40,67,True,False,D
2851,313718,gate_30,77,True,False,E
2854,314080,gate_40,41,True,True,B
2857,314484,gate_40,52,True,True,C
2858,314581,gate_40,192,False,True,H
2866,315161,gate_30,70,True,True,E
2874,315682,gate_30,93,True,True,G
2877,315950,gate_40,116,True,False,I
2881,316363,gate_40,159,True,False,M
2889,317327,gate_40,94,True,False,G
2892,317884,gate_40,165,True,True,N
2895,318226,gate_40,141,True,False,L
2897,318461,gate_30,183,True,False,P
2901,318892,gate_40,149,True,False,L
2902,318914,gate_30,30,False,False,A
2915,320244,gate_30,34,False,True,A
2916,320464,gate_30,54,False,False,C
2921,320866,gate_40,48,False,True,B
2926,321340,gate_40,116,True,True,I
2930,321707,gate_30,36,True,False,A
2935,322024,gate_30,54,True,True,C
2936,322256,gate_30,33,True,False,A
2940,323040,gate_30,67,False,False,D
2946,323628,gate_40,144,True,True,L
2953,324246,gate_30,47,True,False,B
2955,324311,gate_30,37,False,True,A
