,userid,version,sum_gamerounds,retention_1,retention_7
232,21442,gate_40,68,True,False
236,22167,gate_40,277,True,True
237,22299,gate_40,493,True,True
242,22935,gate_30,274,True,True
246,23084,gate_40,85,True,True
252,23525,gate_40,191,True,True
253,23702,gate_40,115,True,False
254,23748,gate_40,45,True,False
256,24222,gate_30,134,True,True
265,25332,gate_30,152,True,True
268,25941,gate_40,73,True,False
270,26083,gate_30,100,True,True
271,26243,gate_40,250,True,True
274,26502,gate_30,147,True,True
275,26586,gate_30,391,True,False
281,27759,gate_30,61,True,True
282,27849,gate_40,61,True,False
283,27851,gate_40,75,True,False
284,27979,gate_30,75,False,False
285,28025,gate_30,57,True,False
286,28091,gate_30,35,True,False
291,28497,gate_40,77,True,True
295,29455,gate_30,51,True,True
296,29522,gate_40,197,False,True
299,29753,gate_40,69,True,False
301,29999,gate_30,260,True,True
307,30348,gate_30,48,True,True
309,30631,gate_30,61,False,True
312,31073,gate_30,270,True,True
313,31151,gate_30,59,False,False
314,31200,gate_30,141,True,False
315,31214,gate_30,53,False,True
319,31812,gate_30,37,True,False
320,31903,gate_30,467,True,True
325,32642,gate_30,40,False,False
333,33445,gate_30,77,False,True
335,33639,gate_40,45,True,False
336,33703,gate_40,43,True,False
339,33967,gate_30,33,True,True
340,34016,gate_40,47,True,False
341,34022,gate_40,72,False,True
344,34447,gate_40,93,True,True
345,34469,gate_30,222,True,True
346,34597,gate_40,334,True,True
353,35027,gate_40,58,True,False
354,35056,gate_30,84,True,False
356,35458,gate_40,56,False,False
357,35460,gate_30,43,True,False
358,35730,gate_30,50,True,False
362,36003,gate_30,48,True,False
363,36047,gate_40,85,True,True
365,36279,gate_30,41,True,False
368,36356,gate_30,303,True,True
370,36560,gate_40,48,True,False
372,36664,gate_40,51,False,True
374,36761,gate_40,134,True,True
379,37303,gate_30,177,True,True
382,37740,gate_30,39,True,True
387,38232,gate_30,216,True,True
390,39069,gate_30,227,False,False
392,39494,gate_30,87,True,False
393,39531,gate_30,71,True,False
394,39774,gate_40,567,True,True
396,39932,gate_30,55,True,True
398,40233,gate_40,78,True,False
401,40378,gate_30,552,True,True
402,40427,gate_30,96,True,False
405,40630,gate_40,99,True,False
406,40653,gate_30,107,True,False
413,41795,gate_30,136,True,True
419,42407,gate_30,45,False,True
424,42994,gate_40,113,True,True
428,43744,gate_30,141,True,False
430,44400,gate_40,95,True,False
431,44493,gate_40,339,True,True
438,45066,gate_30,85,True,False
439,45083,gate_40,54,False,False
442,45698,gate_30,452,True,True
450,46347,gate_30,57,False,False
453,46624,gate_40,148,True,True
454,46629,gate_40,57,True,False
456,46806,gate_30,163,True,True
457,46919,gate_40,47,True,False
458,46938,gate_30,54,False,False
460,47816,gate_30,220,True,True
461,47822,gate_40,63,True,True
466,48201,gate_40,84,True,True
467,48631,gate_40,60,False,False
468,48658,gate_30,216,True,True
470,48942,gate_30,290,True,True
480,50158,gate_40,87,True,True
481,50237,gate_40,86,True,False
484,50547,gate_30,356,False,False
490,50850,gate_30,34,True,True
491,51155,gate_30,34,False,False
493,51295,gate_30,117,True,True
495,51430,gate_30,34,True,False
498,51823,gate_40,54,True,True
500,51970,gate_40,76,False,True
501,52100,gate_40,55,True,False
508,53373,gate_40,298,True,True
509,53393,gate_30,338,True,True
517,53996,gate_40,115,True,True
518,54069,gate_30,170,True,True
519,54162,gate_30,174,True,True
528,54754,gate_30,70,True,False
532,55213,gate_40,141,True,True
533,55250,gate_40,47,True,True
535,55621,gate_30,32,False,False
541,56496,gate_40,543,True,True
543,56587,gate_40,54,True,False
544,56815,gate_30,202,True,True
546,56997,gate_40,41,False,False
548,57321,gate_30,54,False,False
551,57369,gate_40,399,True,True
554,57516,gate_30,38,True,True
558,58289,gate_30,237,True,True
560,58592,gate_40,85,True,False
565,59395,gate_30,33,True,True
572,60619,gate_40,65,True,False
575,60984,gate_30,139,False,True
590,62566,gate_40,67,True,False
596,63370,gate_30,179,True,True
598,63478,gate_30,202,True,True
600,63555,gate_40,43,False,False
601,63617,gate_30,902,True,True
610,64309,gate_40,125,True,False
613,64792,gate_30,269,True,False
615,64930,gate_30,510,True,False
616,64944,gate_40,62,False,False
622,66509,gate_30,46,True,False
636,68020,gate_40,52,False,True
638,68151,gate_40,136,True,False
640,68394,gate_40,474,True,True
643,68698,gate_40,83,True,False
646,68915,gate_40,121,False,False
647,68965,gate_40,105,True,True
650,69392,gate_30,46,False,False
652,69649,gate_40,80,True,True
653,69870,gate_40,210,True,True
655,69927,gate_30,1906,True,True
660,70294,gate_40,199,True,False
665,71119,gate_30,118,True,True
666,71161,gate_40,68,True,False
667,71165,gate_40,105,True,False
669,71235,gate_30,38,True,False
675,72085,gate_40,103,True,False
676,72164,gate_30,259,True,True
680,72555,gate_30,298,True,True
694,74377,gate_30,53,True,False
697,75029,gate_40,98,True,False
701,76133,gate_30,50,False,False
702,76549,gate_30,149,False,True
707,76784,gate_40,53,True,False
709,76917,gate_30,113,True,False
715,77495,gate_40,59,False,False
717,77731,gate_30,106,True,True
721,77850,gate_30,59,True,False
722,78089,gate_30,47,False,False
724,78183,gate_30,34,True,False
735,80282,gate_30,128,True,True
738,80526,gate_30,34,False,True
741,80634,gate_40,215,True,True
744,80860,gate_40,231,True,False
747,81447,gate_30,34,False,False
749,81524,gate_30,34,True,False
753,82064,gate_30,41,True,False
766,83438,gate_40,129,True,True
767,83732,gate_40,95,False,True
768,83798,gate_40,96,True,False
769,84100,gate_30,160,True,False
776,85007,gate_40,110,True,True
777,85277,gate_30,61,True,True
783,86821,gate_40,65,True,False
786,87258,gate_40,275,True,True
789,87419,gate_30,46,False,False
791,87542,gate_30,40,True,False
797,87827,gate_30,37,True,False
800,88361,gate_40,55,False,True
802,88497,gate_30,197,True,True
803,88521,gate_40,44,False,False
804,88907,gate_30,133,True,False
813,90640,gate_30,44,False,True
815,90755,gate_30,76,True,False
816,90892,gate_30,52,True,False
817,90916,gate_40,88,True,True
818,90979,gate_30,36,True,False
819,90992,gate_40,66,True,False
820,91010,gate_40,70,False,False
822,91045,gate_40,44,False,False
823,92061,gate_40,98,True,False
829,92638,gate_40,54,False,False
837,93646,gate_30,33,False,False
841,94159,gate_30,79,True,True
847,94904,gate_30,43,True,False
848,95033,gate_30,42,True,False
850,95371,gate_30,282,True,True
852,95696,gate_40,42,False,True
854,96038,gate_40,132,False,True
855,96058,gate_30,49,True,True
856,96076,gate_30,95,True,True
858,96471,gate_30,183,True,False
860,96561,gate_40,112,True,True
861,96675,gate_30,70,True,True
862,96744,gate_30,332,True,True
863,96745,gate_40,100,True,True
865,97308,gate_30,798,True,True
869,97777,gate_40,41,True,False
870,97849,gate_30,81,True,True
871,97873,gate_40,49,True,False
872,97971,gate_30,142,True,True
873,98151,gate_30,31,False,False
880,99252,gate_40,48,True,False
889,99928,gate_40,83,True,False
893,100084,gate_30,143,False,True
895,100214,gate_40,114,True,True
896,100367,gate_30,71,True,False
898,100556,gate_40,63,True,True
899,100585,gate_30,75,True,False
904,101041,gate_30,95,True,False
906,101591,gate_30,186,True,True
907,101601,gate_30,50,True,False
908,101664,gate_30,129,True,False
914,101915,gate_30,164,True,True
918,102302,gate_40,78,False,True
919,102540,gate_30,249,True,True
927,103095,gate_40,47,True,False
929,103414,gate_30,345,True,False
931,103498,gate_30,50,True,True
933,103557,gate_40,57,True,False
937,104157,gate_40,59,True,False
939,104211,gate_30,51,False,False
942,104577,gate_30,546,True,True
943,104592,gate_40,45,False,False
945,104694,gate_30,82,False,True
946,104796,gate_30,394,True,True
948,104899,gate_40,227,True,True
949,104999,gate_40,258,False,True
950,105277,gate_30,56,True,False
952,105632,gate_40,52,False,False
961,106600,gate_30,375,True,True
964,107040,gate_40,57,True,False
966,107563,gate_30,39,False,False
971,107981,gate_30,51,True,False
974,108134,gate_30,54,False,True
978,108454,gate_30,35,False,True
985,109151,gate_40,109,True,False
986,109158,gate_40,106,True,False
988,109366,gate_40,158,True,True
989,109431,gate_30,60,True,False
992,109578,gate_30,35,False,False
997,109991,gate_30,519,True,True
998,110004,gate_30,73,True,False
1005,111196,gate_40,52,True,False
1006,111362,gate_40,56,True,False
1007,111382,gate_40,42,True,True
1014,112216,gate_40,77,False,False
1017,112365,gate_40,41,True,False
1019,112718,gate_30,553,True,True
1021,113087,gate_40,260,True,True
1022,113325,gate_30,86,True,True
1023,113378,gate_40,47,False,True
1024,113462,gate_30,175,True,False
1028,113621,gate_40,44,True,True
1029,113666,gate_30,81,True,True
1030,113725,gate_40,47,True,False
1031,113800,gate_30,37,True,False
1042,115234,gate_30,123,False,True
1044,115498,gate_40,104,True,False
1049,116002,gate_30,281,True,True
1052,116247,gate_30,240,False,True
1054,116382,gate_40,69,True,True
1055,116423,gate_30,33,False,False
1058,116590,gate_30,45,True,False
1060,116793,gate_40,275,True,True
1062,117026,gate_30,317,True,False
1065,117242,gate_30,90,True,False
1067,117700,gate_40,90,True,False
1070,117868,gate_30,190,True,False
1072,117992,gate_30,142,True,True
1074,118189,gate_30,50,False,False
1077,118654,gate_40,192,False,True
1081,119209,gate_40,343,False,True
1087,119742,gate_30,191,True,True
1090,120587,gate_30,45,False,False
1095,121148,gate_40,52,False,False
1097,121303,gate_30,1374,True,True
1105,122299,gate_40,65,False,False
1107,122533,gate_30,199,True,True
1110,122817,gate_40,74,True,False
1111,122975,gate_30,197,True,True
1112,122981,gate_30,40,False,False
1115,123121,gate_40,66,True,False
1116,123318,gate_40,48,True,False
1119,123638,gate_30,50,True,False
1124,124379,gate_40,124,False,True
1127,124702,gate_30,93,True,True
1128,124729,gate_30,41,True,False
1133,125058,gate_30,38,True,False
1134,125379,gate_30,91,True,True
1136,125523,gate_30,344,True,True
1137,125735,gate_40,73,False,False
1140,125925,gate_30,51,True,False
1143,126043,gate_40,142,True,False
1144,126289,gate_30,44,True,False
1145,126418,gate_40,44,True,False
1146,126645,gate_30,222,True,True
1152,127487,gate_30,200,True,True
1154,127794,gate_30,35,False,False
1160,128346,gate_30,43,True,False
1163,128547,gate_40,64,False,False
1164,128817,gate_30,399,False,True
1165,128956,gate_30,60,True,False
1166,128989,gate_40,216,True,False
1167,129110,gate_40,42,True,False
1172,129260,gate_30,129,False,True
1182,130391,gate_30,33,False,False
1183,130412,gate_30,38,False,False
1185,130572,gate_40,55,True,False
1186,130879,gate_30,159,True,True
1190,131358,gate_40,69,True,True
1191,131740,gate_30,74,True,False
1194,132330,gate_30,113,True,False
1199,132928,gate_40,139,True,True
1200,132961,gate_40,79,True,False
1201,133088,gate_30,50,True,False
1203,133577,gate_30,331,True,True
1207,134380,gate_40,117,True,False
1212,134621,gate_40,40,True,False
1216,134885,gate_30,432,True,True
1220,135220,gate_40,148,True,True
1226,135693,gate_30,149,True,True
1230,135978,gate_30,80,False,True
1242,137177,gate_30,45,False,False
1244,137380,gate_40,43,True,True
1245,137445,gate_40,284,True,True
1248,137570,gate_30,181,True,True
1251,137865,gate_30,39,True,False
1254,138234,gate_30,75,True,True
1261,138886,gate_30,59,True,True
1262,138891,gate_30,231,True,True
1264,139072,gate_40,681,False,True
1268,139264,gate_30,311,True,True
1270,139581,gate_40,103,True,True
1271,139772,gate_30,80,False,True
1273,140041,gate_30,70,True,True
1278,140734,gate_30,51,False,True
1279,140907,gate_30,81,True,False
1282,141163,gate_30,44,True,False
1285,141449,gate_40,124,False,True
1293,142359,gate_40,66,True,True
1300,142985,gate_40,57,True,True
1308,143939,gate_40,57,True,False
1312,144120,gate_30,52,True,False
1319,144571,gate_40,87,True,True
1320,144664,gate_30,45,True,False
1324,145225,gate_40,75,True,True
1330,145852,gate_30,186,True,True
1332,145938,gate_30,53,True,False
1338,146715,gate_40,134,True,True
1341,146898,gate_30,347,True,True
1344,147246,gate_40,95,True,False
1345,147292,gate_40,76,False,True
1351,147685,gate_40,71,True,False
1357,148166,gate_30,211,True,False
1360,148358,gate_30,137,False,True
1365,148811,gate_40,49,False,False
1366,148974,gate_40,50,True,False
1368,149272,gate_40,42,False,True
1371,149574,gate_30,60,True,False
1377,149896,gate_40,116,True,True
1378,150039,gate_30,503,True,False
1379,150056,gate_40,70,False,False
1380,150076,gate_40,45,True,True
1381,150102,gate_40,74,True,False
1382,150178,gate_40,60,False,True
1383,150398,gate_40,169,True,True
1385,150547,gate_40,42,False,False
1386,150648,gate_30,35,False,True
1387,150818,gate_40,43,True,False
1389,150861,gate_40,185,True,False
1396,151367,gate_30,222,True,True
1407,152596,gate_30,31,True,False
1409,152824,gate_40,62,True,False
1417,154098,gate_40,118,True,False
1424,154490,gate_40,117,True,True
1433,155665,gate_40,87,True,False
1434,155726,gate_40,103,True,True
1440,156220,gate_30,212,True,True
1444,156697,gate_30,762,True,True
1447,156990,gate_40,49,False,True
1457,157584,gate_30,62,True,False
1459,157879,gate_40,313,True,True
1461,158094,gate_30,42,True,False
1464,158459,gate_40,57,True,True
1468,158679,gate_30,43,True,False
1470,158820,gate_40,294,True,False
1474,159068,gate_30,37,False,False
1478,159569,gate_40,41,True,False
1483,159871,gate_40,141,True,False
1487,160152,gate_30,44,False,False
1489,160191,gate_30,58,True,False
1490,160268,gate_30,384,True,True
1491,160315,gate_30,41,True,False
1493,160706,gate_30,32,True,False
1501,162085,gate_30,253,True,True
1503,162205,gate_30,35,True,True
1509,163075,gate_40,93,True,True
1511,163195,gate_40,109,True,True
1512,163209,gate_30,53,False,True
1513,163279,gate_40,79,True,False
1516,163689,gate_40,331,True,True
1519,163912,gate_40,114,True,False
1523,164319,gate_30,144,True,False
1525,164413,gate_30,64,True,False
1526,164652,gate_40,59,True,False
1533,165565,gate_30,409,True,True
1534,165633,gate_30,45,True,False
1538,165967,gate_40,56,False,False
1543,166349,gate_30,75,False,True
1549,166972,gate_40,83,True,False
1551,167120,gate_30,32,True,True
1555,167446,gate_30,343,False,True
1560,168191,gate_30,62,True,True
1565,168648,gate_30,75,True,False
1566,168732,gate_30,168,False,True
1570,169254,gate_30,327,True,False
1571,169278,gate_30,39,True,False
1575,170045,gate_40,133,True,True
1577,170171,gate_30,379,True,True
1578,170172,gate_30,43,True,False
1580,170496,gate_30,68,True,False
1581,170502,gate_40,337,True,True
1587,171285,gate_40,94,True,False
1588,171406,gate_30,470,True,True
1590,171875,gate_30,105,True,True
1591,171972,gate_40,62,False,True
1595,172381,gate_40,44,True,False
1597,172857,gate_30,73,True,True
1598,173039,gate_30,32,True,False
1599,173129,gate_40,69,True,True
1601,173419,gate_40,51,False,False
1602,173478,gate_40,378,True,True
1604,173708,gate_40,288,True,True
1605,173971,gate_30,44,False,False
1610,174304,gate_40,81,True,True
1611,174328,gate_30,33,True,True
1613,174807,gate_30,128,True,False
1621,175412,gate_30,64,False,False
1622,175561,gate_40,435,True,True
1624,175831,gate_40,138,True,False
1625,176021,gate_40,229,True,True
1638,177454,gate_30,65,True,True
1643,178129,gate_40,84,True,False
1646,178260,gate_30,47,True,False
1647,178587,gate_40,75,True,False
1648,178610,gate_30,62,True,False
1652,179102,gate_30,210,True,True
1659,179795,gate_30,402,True,True
1661,179911,gate_30,174,True,True
1663,179959,gate_30,388,True,True
1664,180120,gate_40,114,True,True
1666,180683,gate_40,51,True,False
1668,180914,gate_30,255,True,True
1671,181212,gate_40,80,True,True
1672,181392,gate_30,36,False,False
1681,182201,gate_30,320,True,True
1688,183329,gate_30,46,True,True
1691,183738,gate_30,52,False,False
1699,184871,gate_40,256,True,True
1702,185056,gate_30,143,True,True
1706,185368,gate_30,52,False,False
1707,185512,gate_40,934,True,True
1708,185666,gate_40,292,True,True
1712,185984,gate_30,41,True,False
1715,186071,gate_30,48,True,False
1721,186621,gate_40,43,True,False
1725,187084,gate_30,69,True,False
1728,187680,gate_40,83,False,False
1737,188805,gate_30,84,False,False
1739,188880,gate_30,163,False,False
1741,189066,gate_40,61,True,False
1742,189098,gate_30,35,True,False
1744,189116,gate_30,129,True,False
1749,189970,gate_40,104,True,False
1751,190151,gate_30,36,True,False
1753,190226,gate_40,63,True,False
1756,190421,gate_40,294,True,True
1759,190691,gate_30,38,True,False
1762,190832,gate_40,64,True,True
1764,190942,gate_40,62,False,True
1768,191259,gate_30,155,True,True
1770,191357,gate_40,64,False,False
1771,191440,gate_30,56,True,False
1772,191952,gate_40,462,False,True
1776,192338,gate_30,57,True,False
1777,192398,gate_30,41,True,True
1778,192424,gate_40,181,True,True
1779,192506,gate_40,65,True,False
1785,193226,gate_30,89,True,True
1786,193252,gate_30,34,True,False
1794,194208,gate_30,37,True,False
1797,195031,gate_30,153,True,False
1798,195134,gate_30,33,True,False
1802,195673,gate_30,89,True,True
1805,195806,gate_30,30,True,False
1806,196020,gate_40,41,False,False
1807,196073,gate_30,53,True,True
1808,196293,gate_40,133,True,True
1809,196344,gate_30,217,True,True
1821,197915,gate_30,299,True,True
1822,198005,gate_40,99,True,False
1828,198390,gate_30,59,False,True
1832,198750,gate_40,41,True,True
1834,198901,gate_30,35,True,False
1839,199739,gate_40,196,True,False
1840,199869,gate_30,284,True,True
1842,199929,gate_40,59,True,True
1846,200398,gate_40,88,True,True
1847,200463,gate_40,393,True,True
1848,200499,gate_40,159,True,False
1849,200587,gate_30,40,True,True
1855,201344,gate_30,32,True,False
1857,201516,gate_30,37,True,False
1860,201766,gate_30,34,True,True
1864,201975,gate_40,65,False,False
1875,203427,gate_40,40,True,True
1876,203446,gate_40,61,True,False
1877,203623,gate_40,123,True,False
1880,203804,gate_30,85,True,False
1888,204106,gate_40,91,True,False
1891,204251,gate_30,750,True,True
1892,204307,gate_30,36,True,False
1896,204809,gate_40,67,False,True
1901,205112,gate_40,459,True,True
1902,205146,gate_40,261,True,True
1904,205322,gate_30,71,False,False
1905,205475,gate_40,109,True,True
1907,205840,gate_30,49,True,False
1908,205855,gate_30,169,True,True
1909,205881,gate_30,45,True,False
1913,206431,gate_40,208,True,True
1918,206979,gate_30,35,True,False
1921,207142,gate_30,70,True,False
1925,207551,gate_30,121,True,False
1931,208551,gate_30,131,True,True
1932,208564,gate_30,226,True,True
1939,209187,gate_30,47,False,False
1943,209644,gate_40,179,True,True
1944,209854,gate_30,61,False,True
1960,211983,gate_30,99,True,True
1961,212109,gate_30,58,True,True
1964,212517,gate_40,275,True,True
1966,212593,gate_40,83,True,False
1968,213035,gate_40,784,False,True
1970,213336,gate_30,38,False,True
1971,213350,gate_40,141,True,True
1973,213526,gate_40,152,True,True
1976,213633,gate_30,32,False,False
1978,213919,gate_30,41,False,False
1982,214300,gate_40,131,True,True
1983,214344,gate_40,67,True,False
1987,214681,gate_40,60,False,True
1993,215241,gate_30,33,False,False
1998,215764,gate_30,314,True,True
2004,216304,gate_30,32,True,False
2006,216630,gate_40,71,True,False
2009,216947,gate_30,59,False,False
2011,217510,gate_30,101,True,False
2016,218278,gate_40,77,True,False
2019,218483,gate_30,34,True,False
2020,218491,gate_30,60,True,False
2021,218725,gate_40,195,True,False
2023,218785,gate_40,469,True,True
2024,219102,gate_30,55,True,False
2025,219299,gate_30,75,True,False
2028,219723,gate_40,75,False,False
2033,220846,gate_40,383,True,True
2036,221780,gate_40,99,True,True
2038,221918,gate_30,228,True,True
2039,221990,gate_30,196,True,True
2040,222236,gate_40,57,False,True
2041,222469,gate_40,165,True,True
2046,222863,gate_40,114,True,False
2052,223404,gate_40,43,True,True
2053,223470,gate_30,33,False,False
2054,223761,gate_30,183,True,False
2056,223954,gate_40,57,True,False
2068,225367,gate_30,324,True,True
2069,225619,gate_40,44,True,False
2070,225887,gate_40,102,True,True
2073,226129,gate_30,42,True,False
2077,226829,gate_40,101,True,True
2085,227587,gate_40,613,True,True
2087,227843,gate_30,194,True,True
2089,227982,gate_30,178,True,False
2091,228028,gate_30,30,True,False
2093,228313,gate_30,38,False,False
2098,228723,gate_40,299,True,True
2104,228897,gate_40,74,True,True
2108,229449,gate_30,181,True,True
2113,229957,gate_40,78,False,True
2114,230016,gate_40,514,True,True
2116,230166,gate_30,35,False,False
2120,230897,gate_40,60,False,True
2121,231022,gate_30,60,True,False
2126,231622,gate_40,90,True,False
2134,232506,gate_30,116,True,False
2135,232533,gate_40,154,True,False
2139,232761,gate_30,286,True,False
2146,233597,gate_30,589,True,True
2151,234696,gate_30,570,True,True
2162,235571,gate_30,37,False,False
2164,235670,gate_30,32,True,False
2166,235738,gate_40,164,True,True
2167,235996,gate_40,245,True,False
2168,236010,gate_30,195,True,False
2169,236155,gate_30,33,True,False
2170,236212,gate_40,162,True,True
2180,237543,gate_30,289,True,False
2181,237638,gate_40,155,True,True
2182,238069,gate_40,256,True,True
2185,238675,gate_40,359,True,False
2189,238958,gate_40,41,False,True
2192,239462,gate_40,84,True,True
2194,239796,gate_30,229,True,True
2199,240107,gate_30,195,True,True
2201,240510,gate_30,32,True,False
2206,241088,gate_30,103,True,False
2208,241175,gate_30,45,False,True
2212,241792,gate_40,75,True,False
2215,242207,gate_40,40,True,True
2216,242265,gate_40,73,False,False
2218,242860,gate_30,40,False,False
2219,243145,gate_40,177,True,True
2220,243154,gate_40,151,True,False
2223,243606,gate_40,146,True,True
2228,244073,gate_30,196,True,True
2229,244256,gate_40,70,True,False
2230,244485,gate_30,126,True,True
2231,244583,gate_40,121,True,True
2232,244609,gate_40,51,True,False
2237,245122,gate_30,35,False,False
2239,245530,gate_30,33,False,False
2241,245900,gate_30,238,True,True
2245,246380,gate_40,48,False,False
2249,247190,gate_30,40,False,False
2251,247629,gate_40,58,True,False
2257,248748,gate_30,1309,True,True
2258,248891,gate_40,632,True,True
2265,249689,gate_40,53,False,False
2269,250195,gate_30,281,True,True
2274,250696,gate_40,899,True,True
2276,251156,gate_30,100,True,False
2278,251406,gate_40,111,True,True
2279,251472,gate_30,297,True,True
2285,252138,gate_30,71,False,False
2287,252244,gate_40,200,True,True
2294,253036,gate_30,181,True,False
2296,253417,gate_30,58,True,False
2299,253657,gate_40,386,True,True
2301,253876,gate_30,51,True,False
2303,253937,gate_40,329,True,True
2306,254342,gate_40,89,True,False
2309,254573,gate_40,48,False,False
2310,254659,gate_40,174,True,False
2312,255077,gate_40,50,True,True
2314,255220,gate_40,161,False,True
2317,255470,gate_40,164,True,False
2320,255657,gate_40,187,True,True
2322,255897,gate_40,878,True,True
2324,256040,gate_40,246,True,True
2333,257426,gate_40,41,True,False
2334,257472,gate_30,128,True,False
2335,257532,gate_40,91,True,True
2336,257615,gate_30,90,True,False
2338,257720,gate_40,151,True,False
2347,258332,gate_40,232,True,False
2351,258612,gate_30,277,True,True
2352,258720,gate_30,45,True,False
2362,259958,gate_30,145,True,False
2364,260019,gate_40,183,True,True
2369,260446,gate_40,63,True,True
2370,260523,gate_30,30,True,False
2373,260720,gate_30,167,True,False
2375,260866,gate_40,69,True,False
2376,260901,gate_30,49,True,False
2380,261725,gate_40,42,True,False
2382,261811,gate_40,114,False,True
2383,261884,gate_40,197,True,True
2384,261973,gate_30,49,True,False
2389,262491,gate_30,100,True,False
2393,263178,gate_30,53,True,False
2397,263329,gate_40,118,True,False
2399,263382,gate_40,114,True,False
2402,263912,gate_30,36,True,False
2407,264514,gate_30,42,False,False
2412,265313,gate_30,46,True,True
2415,265700,gate_30,30,True,False
2427,267300,gate_40,288,True,True
2428,267461,gate_40,204,True,True
2430,267847,gate_30,40,True,False
2431,267912,gate_30,32,True,False
2432,268064,gate_40,51,False,False
2433,268232,gate_40,57,True,True
2435,268298,gate_40,129,True,False
2436,268314,gate_40,70,False,False
2438,268492,gate_30,123,True,True
2439,268517,gate_40,55,True,False
2441,268756,gate_40,232,True,False
2445,268946,gate_40,387,True,True
2447,269182,gate_30,312,True,True
2453,270187,gate_30,80,True,True
2455,270229,gate_40,77,True,False
2456,270262,gate_40,142,True,True
2462,270655,gate_40,55,True,True
2471,272133,gate_30,192,True,True
2483,273438,gate_30,38,True,False
2485,273607,gate_30,311,True,True
2486,273679,gate_30,184,False,False
2491,274306,gate_30,128,True,True
2493,274744,gate_30,37,True,False
2494,274858,gate_30,63,True,False
2495,275121,gate_30,279,True,True
2510,276656,gate_30,38,True,True
2517,277023,gate_40,68,False,False
2522,277579,gate_30,177,True,True
2528,278277,gate_30,50,False,False
2533,278692,gate_40,47,True,False
2534,278716,gate_30,166,True,True
2537,279168,gate_40,161,True,True
2541,279778,gate_30,355,True,True
2545,280253,gate_40,57,True,True
2546,280315,gate_30,47,False,False
2547,280520,gate_40,78,True,False
2551,280982,gate_40,191,False,True
2559,281736,gate_40,116,True,True
2560,281799,gate_30,73,False,False
2563,282754,gate_30,33,True,False
2565,282985,gate_30,96,True,False
2566,283014,gate_30,56,True,True
2567,283136,gate_40,204,True,True
2577,283707,gate_30,135,True,True
2578,283731,gate_40,299,True,True
2580,284007,gate_30,160,True,True
2586,284610,gate_30,1252,True,True
2587,284733,gate_30,104,True,True
2588,284742,gate_40,135,True,True
2595,285321,gate_40,49,False,False
2598,285352,gate_40,79,True,True
2602,285915,gate_30,45,False,False
2605,286027,gate_30,34,True,False
2606,286117,gate_30,53,True,False
2618,286852,gate_40,278,True,True
2623,287161,gate_40,78,False,True
2624,287170,gate_40,115,True,True
2625,287270,gate_40,98,True,True
2637,288429,gate_40,101,True,False
2641,289113,gate_40,111,True,True
2650,289969,gate_40,124,True,True
2653,290179,gate_40,232,True,False
2655,290386,gate_30,100,False,False
2657,290419,gate_30,42,True,True
2661,290547,gate_30,31,True,False
2664,290659,gate_30,46,True,True
2672,291706,gate_30,46,True,False
2675,292402,gate_40,57,True,False
2678,292701,gate_30,385,True,True
2679,293045,gate_40,61,True,False
2680,293232,gate_40,54,True,True
2682,293413,gate_40,97,True,False
2684,293662,gate_40,40,True,False
